training loss,precision,recall,f1 score,elapsed time,accuracy
0.863,0.273,0.762,0.397,13.308,0.8009999999999999
0.773,0.303,0.797,0.436,12.651,0.825
0.762,0.315,0.805,0.44799999999999995,12.446,0.831
0.728,0.324,0.8109999999999999,0.45799999999999996,12.421,0.8340000000000001
0.7140000000000001,0.33799999999999997,0.816,0.474,12.264000000000001,0.846
0.695,0.344,0.826,0.48100000000000004,12.315999999999999,0.847
0.706,0.341,0.8220000000000001,0.47700000000000004,12.388,0.845
0.672,0.355,0.8320000000000001,0.4920000000000001,12.196,0.852
0.657,0.364,0.835,0.501,12.239,0.856
0.6509999999999999,0.364,0.8370000000000001,0.502,12.034,0.856
0.66,0.361,0.836,0.499,12.046,0.855
0.6509999999999999,0.364,0.835,0.502,12.002,0.857
0.648,0.371,0.84,0.509,12.032,0.86
0.627,0.377,0.846,0.516,12.062999999999999,0.863
0.633,0.374,0.846,0.513,11.823,0.86
0.643,0.37799999999999995,0.8390000000000001,0.515,12.027000000000001,0.862
0.624,0.38,0.846,0.519,12.185,0.8640000000000001
0.63,0.38299999999999995,0.8440000000000001,0.52,12.012,0.8640000000000001
0.611,0.39399999999999996,0.85,0.532,11.981,0.87
0.603,0.392,0.8540000000000001,0.531,11.904000000000002,0.8690000000000001
0.611,0.39399999999999996,0.848,0.531,12.052,0.868
0.611,0.396,0.853,0.534,11.991,0.8690000000000001
0.614,0.391,0.847,0.528,12.142999999999999,0.867
0.61,0.389,0.8490000000000001,0.527,12.135,0.867
0.593,0.401,0.853,0.539,12.165,0.873
0.598,0.39299999999999996,0.8540000000000001,0.532,12.148,0.8690000000000001
0.5870000000000001,0.41,0.8540000000000001,0.5479999999999999,12.102,0.877
0.565,0.41600000000000004,0.863,0.5539999999999999,11.99,0.879
0.601,0.39899999999999997,0.852,0.536,12.05,0.871
0.595,0.402,0.8540000000000001,0.54,12.034,0.873
0.58,0.41100000000000003,0.86,0.5489999999999999,11.985,0.8759999999999999
0.575,0.409,0.861,0.5479999999999999,12.08,0.875
0.579,0.40700000000000003,0.86,0.546,12.079,0.875
0.588,0.40700000000000003,0.855,0.544,12.015,0.875
0.588,0.41200000000000003,0.857,0.5489999999999999,11.99,0.8759999999999999
0.568,0.413,0.861,0.552,12.117,0.878
0.57,0.41200000000000003,0.8640000000000001,0.551,12.075999999999999,0.877
0.5579999999999999,0.41600000000000004,0.866,0.555,12.062999999999999,0.879
0.591,0.40700000000000003,0.8540000000000001,0.544,12.034,0.8740000000000001
0.578,0.41200000000000003,0.86,0.55,11.975,0.8759999999999999
0.574,0.419,0.861,0.556,11.923,0.879
0.5579999999999999,0.423,0.863,0.561,11.912,0.8809999999999999
0.578,0.419,0.855,0.555,11.968,0.879
0.575,0.418,0.86,0.555,11.988,0.878
0.545,0.428,0.872,0.5670000000000001,11.919,0.883
0.5379999999999999,0.429,0.87,0.5670000000000001,12.034,0.883
0.542,0.434,0.867,0.5710000000000001,12.23,0.8859999999999999
0.57,0.415,0.8640000000000001,0.5539999999999999,12.177999999999999,0.878
0.562,0.4270000000000001,0.866,0.564,12.237,0.8809999999999999
0.578,0.41600000000000004,0.86,0.5539999999999999,12.206,0.877
0.5489999999999999,0.431,0.871,0.57,12.13,0.885
0.5479999999999999,0.43,0.866,0.568,12.062999999999999,0.884
0.5379999999999999,0.435,0.871,0.5720000000000001,11.949000000000002,0.884
0.547,0.429,0.866,0.5670000000000001,12.057,0.884
0.529,0.441,0.8740000000000001,0.5770000000000001,12.025,0.8859999999999999
0.536,0.428,0.872,0.5670000000000001,12.033,0.8809999999999999
0.5379999999999999,0.441,0.873,0.578,12.024000000000001,0.887
0.552,0.431,0.868,0.569,11.977,0.884
0.544,0.439,0.867,0.575,12.062000000000001,0.887
0.544,0.431,0.868,0.568,12.079,0.883
0.532,0.44299999999999995,0.873,0.58,12.005999999999998,0.889
0.534,0.439,0.871,0.5760000000000001,12.25,0.887
0.532,0.4370000000000001,0.8740000000000001,0.5760000000000001,12.07,0.887
0.529,0.442,0.872,0.579,11.979000000000001,0.888
0.5429999999999999,0.439,0.865,0.575,12.059000000000001,0.887
0.517,0.45399999999999996,0.879,0.59,12.094000000000001,0.892
0.529,0.442,0.878,0.581,12.212,0.889
0.539,0.447,0.872,0.5820000000000001,11.97,0.889
0.535,0.4370000000000001,0.873,0.574,11.929,0.885
0.519,0.44299999999999995,0.875,0.58,11.91,0.888
0.525,0.441,0.8759999999999999,0.579,12.072000000000001,0.887
0.53,0.452,0.871,0.586,16.344,0.8909999999999999
0.532,0.44,0.8740000000000001,0.5770000000000001,15.588,0.887
0.518,0.446,0.8740000000000001,0.583,15.174,0.89
0.519,0.447,0.8759999999999999,0.584,15.189,0.89
0.547,0.431,0.868,0.569,15.205,0.884
0.537,0.44,0.8740000000000001,0.5760000000000001,15.088,0.8859999999999999
0.539,0.4370000000000001,0.8690000000000001,0.574,14.995,0.8859999999999999
0.528,0.448,0.872,0.583,14.661,0.889
0.539,0.438,0.872,0.575,14.632,0.8859999999999999
0.517,0.447,0.877,0.584,14.666,0.889
0.515,0.449,0.877,0.585,14.505999999999998,0.889
0.536,0.443,0.87,0.578,14.653,0.887
0.509,0.454,0.882,0.591,14.661,0.892
0.523,0.453,0.875,0.589,15.004,0.892
0.517,0.449,0.8759999999999999,0.585,14.953,0.889
0.534,0.4370000000000001,0.871,0.574,15.02,0.885
0.528,0.453,0.877,0.589,15.369000000000002,0.892
0.505,0.462,0.88,0.598,15.245,0.895
0.496,0.473,0.884,0.608,14.876,0.9
0.523,0.448,0.871,0.584,14.818,0.8909999999999999
0.521,0.448,0.8740000000000001,0.584,14.686,0.889
0.51,0.447,0.878,0.585,14.488,0.8909999999999999
0.539,0.435,0.871,0.573,14.478,0.885
0.519,0.45,0.8759999999999999,0.5870000000000001,14.543,0.8909999999999999
0.523,0.448,0.878,0.585,14.617,0.889
0.52,0.446,0.877,0.583,14.504,0.889
0.491,0.471,0.882,0.605,14.379,0.898
0.507,0.454,0.879,0.59,14.388,0.892
0.514,0.453,0.8759999999999999,0.59,14.592,0.893
0.516,0.453,0.8740000000000001,0.589,14.637,0.892
0.509,0.464,0.879,0.599,14.615,0.895
0.514,0.459,0.878,0.595,14.845999999999998,0.893
0.516,0.458,0.8740000000000001,0.5920000000000001,14.847,0.893
0.514,0.452,0.877,0.588,14.579,0.8909999999999999
0.505,0.461,0.879,0.596,14.595,0.895
0.494,0.47,0.883,0.605,14.117,0.898
0.505,0.456,0.883,0.593,13.564,0.893
0.499,0.467,0.879,0.601,13.466,0.8959999999999999
0.504,0.45899999999999996,0.8809999999999999,0.595,13.489,0.894
0.502,0.461,0.882,0.597,13.385,0.894
0.511,0.455,0.8759999999999999,0.591,13.280999999999999,0.893
0.49700000000000005,0.45899999999999996,0.882,0.596,13.157,0.895
0.505,0.461,0.879,0.597,13.32,0.8959999999999999
0.48700000000000004,0.466,0.883,0.602,13.062999999999999,0.898
0.514,0.46,0.877,0.595,13.082,0.895
0.505,0.45799999999999996,0.88,0.595,13.024000000000001,0.894
0.494,0.46399999999999997,0.885,0.601,12.919,0.8959999999999999
0.495,0.466,0.879,0.601,12.963,0.897
0.494,0.47200000000000003,0.885,0.606,13.01,0.898
0.514,0.46,0.879,0.595,13.052999999999999,0.895
0.515,0.45799999999999996,0.873,0.5920000000000001,13.032,0.892
0.5,0.45399999999999996,0.88,0.5920000000000001,13.09,0.893
0.485,0.474,0.8859999999999999,0.609,13.056,0.9
0.491,0.466,0.8859999999999999,0.602,13.005,0.8959999999999999
0.512,0.461,0.8759999999999999,0.596,13.036,0.894
0.5,0.457,0.8809999999999999,0.593,13.055,0.892
0.485,0.469,0.882,0.605,12.995,0.898
0.512,0.45799999999999996,0.8809999999999999,0.594,13.005,0.893
0.49,0.469,0.884,0.605,13.087,0.898
0.493,0.469,0.8859999999999999,0.606,13.017000000000001,0.898
0.509,0.461,0.878,0.596,12.945,0.895
0.484,0.47100000000000003,0.887,0.607,13.119000000000002,0.898
0.49200000000000005,0.467,0.883,0.602,13.007,0.897
0.5,0.467,0.8809999999999999,0.602,13.082,0.897
0.47600000000000003,0.47700000000000004,0.887,0.612,12.994000000000002,0.9009999999999999
0.494,0.47200000000000003,0.883,0.607,13.057,0.899
0.496,0.465,0.8809999999999999,0.6,12.999,0.895
0.506,0.461,0.879,0.596,13.015999999999998,0.894
0.49700000000000005,0.473,0.8809999999999999,0.606,12.91,0.898
0.48700000000000004,0.47200000000000003,0.884,0.606,12.814,0.898
0.49700000000000005,0.47200000000000003,0.882,0.607,12.932,0.899
0.495,0.469,0.88,0.603,12.800999999999998,0.897
0.474,0.48100000000000004,0.888,0.616,13.002,0.903
0.49,0.47700000000000004,0.8809999999999999,0.61,13.017000000000001,0.899
0.493,0.47600000000000003,0.882,0.61,13.118,0.9
0.48100000000000004,0.47,0.8859999999999999,0.606,13.009,0.898
0.489,0.46299999999999997,0.8859999999999999,0.6,13.007,0.895
0.495,0.46399999999999997,0.883,0.6,13.136,0.8959999999999999
0.485,0.478,0.884,0.611,12.999,0.899
0.46799999999999997,0.479,0.888,0.615,12.905999999999999,0.902
0.48200000000000004,0.484,0.887,0.618,13.055,0.903
0.48,0.474,0.8859999999999999,0.61,13.046,0.9
0.485,0.47700000000000004,0.882,0.611,13.03,0.9009999999999999
0.48,0.47600000000000003,0.8859999999999999,0.611,13.095999999999998,0.9009999999999999
0.486,0.475,0.8859999999999999,0.609,13.038,0.898
0.483,0.475,0.887,0.609,12.991,0.898
0.479,0.48100000000000004,0.89,0.616,13.075999999999999,0.9009999999999999
0.473,0.485,0.889,0.619,13.085,0.902
0.47100000000000003,0.48100000000000004,0.889,0.615,12.989,0.9009999999999999
0.48700000000000004,0.47600000000000003,0.885,0.61,13.003,0.899
0.486,0.478,0.887,0.612,12.978,0.9
0.496,0.466,0.883,0.601,13.133,0.8959999999999999
0.47100000000000003,0.478,0.89,0.614,12.95,0.9009999999999999
0.47100000000000003,0.48100000000000004,0.887,0.615,12.95,0.9009999999999999
0.47100000000000003,0.48100000000000004,0.8909999999999999,0.616,13.023,0.902
0.455,0.493,0.893,0.627,13.030999999999999,0.9059999999999999
0.484,0.475,0.885,0.61,12.997,0.9
0.485,0.48,0.885,0.613,13.059000000000001,0.9
0.48,0.473,0.8859999999999999,0.608,12.968,0.899
0.469,0.483,0.888,0.618,13.097000000000001,0.902
0.47100000000000003,0.48700000000000004,0.888,0.619,13.085999999999999,0.902
0.465,0.48700000000000004,0.887,0.62,12.876,0.904
0.479,0.48100000000000004,0.885,0.615,12.965,0.902
0.48100000000000004,0.48100000000000004,0.8859999999999999,0.615,13.027000000000001,0.902
0.455,0.49200000000000005,0.894,0.626,12.867,0.905
0.485,0.483,0.8859999999999999,0.616,12.957,0.902
0.484,0.474,0.885,0.609,13.928,0.899
0.464,0.498,0.89,0.629,13.089,0.906
0.477,0.486,0.888,0.619,12.912,0.904
0.477,0.481,0.885,0.615,12.937,0.903
0.48,0.489,0.888,0.622,12.747,0.904
0.466,0.489,0.887,0.622,12.636,0.905
0.471,0.486,0.888,0.619,12.664,0.903
0.462,0.49,0.891,0.623,12.59,0.904
0.478,0.484,0.884,0.617,12.552,0.903
0.458,0.498,0.894,0.631,12.407,0.907
0.468,0.494,0.887,0.625,12.406,0.905
0.456,0.497,0.892,0.629,12.162,0.907
0.48,0.484,0.884,0.617,12.298,0.904
0.475,0.483,0.888,0.617,12.256,0.902
0.471,0.486,0.886,0.619,12.272,0.903
0.471,0.483,0.89,0.618,12.209,0.903
0.488,0.474,0.881,0.608,12.283,0.899
0.46,0.49,0.893,0.624,12.125,0.905
0.453,0.493,0.892,0.627,12.263,0.906
0.461,0.498,0.889,0.629,12.365,0.906
0.456,0.489,0.89,0.623,12.118,0.905
0.455,0.504,0.891,0.634,12.167,0.908
0.469,0.488,0.889,0.621,12.319,0.903
